t,px_err_x,px_err_y,ee_x,ee_y,ee_z,ref_x,ref_y,ref_z
0.009831428527832031,2.0,-7.0,0.45690000000000003,0.19424999996498876,0.5665499999601586,0.45690000000000003,0.19424999996498876,0.5665499999601586
0.20113348960876465,4.0,-8.0,0.45729271287144757,0.19425000211172305,0.5686803149892177,0.4571748990100133,0.19425000146770277,0.5680412204805
0.3578801155090332,5.0,-8.0,0.47031509210447636,0.1949339276948466,0.5866129315098215,0.4663730341761374,0.19472874982670346,0.5810414182010251
0.4998929500579834,6.0,-8.0,0.4859208379851317,0.195219687568481,0.603964873916133,0.48005649684243346,0.19507240624594774,0.5970878372016006
0.6116681098937988,6.0,-8.0,0.4910196351733237,0.1954185859117916,0.61453836883403,0.48773069367405664,0.19531473201203842,0.6093032093443013
0.7546164989471436,6.0,-8.0,0.4925534259101984,0.19835737339839202,0.6194200313469297,0.49110660623935587,0.19744458098248593,0.6163849847461411
0.8974027633666992,6.0,-8.0,0.4925221533884778,0.19974073658592642,0.6185413315120709,0.49209748924374125,0.19905188990489428,0.617894427482292
1.041618824005127,6.0,-9.0,0.4926621679831523,0.1990211532378469,0.6175779443174819,0.492492764361329,0.1990303742379611,0.6176728892669249
1.1852059364318848,6.0,-9.0,0.4925309785516687,0.19913268304848716,0.6176482895803379,0.49251951429456675,0.19910199040532933,0.617655669486314
1.3287773132324219,6.0,-9.0,0.49253277263898876,0.19910806300844136,0.6176741126630021,0.49252879513566217,0.19910624122750775,0.6176685797099957
1.4872050285339355,6.0,-9.0,0.4922888613617282,0.19966856155237672,0.6179286607357126,0.49236084149390846,0.19949986545491602,0.6178506364279975
1.6305301189422607,6.0,-9.0,0.49240336333675544,0.19941122014283197,0.6178509506123645,0.49239060678390134,0.1994378137364572,0.6178508563570544
1.7889015674591064,6.0,-9.0,0.492324695527194,0.19958889318130119,0.6179088366301726,0.4923444689042062,0.19954356934784798,0.6178914425482371
1.946869134902954,6.0,-9.0,0.4923458314103941,0.19953833790248718,0.6178970254559223,0.49234542265853776,0.19953990733609542,0.6178953505836168
